Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
122,https://amigos.org/news/archive,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
145,https://amigos.org/taxonomy/term/1/feed,,serious,document-title,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=axeAPI,<html>
145,https://amigos.org/taxonomy/term/1/feed,,serious,html-has-lang,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI,<html>
145,https://amigos.org/taxonomy/term/1/feed,,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,<html>
145,https://amigos.org/taxonomy/term/1/feed,,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,<html>
145,https://amigos.org/taxonomy/term/1/feed,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<pre style=""word-wrap: break-word; white-space: pre-wrap;"">"
155,https://amigos.org/taxonomy/term/97/feed,,serious,document-title,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=axeAPI,<html>
155,https://amigos.org/taxonomy/term/97/feed,,serious,html-has-lang,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI,<html>
155,https://amigos.org/taxonomy/term/97/feed,,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,<html>
155,https://amigos.org/taxonomy/term/97/feed,,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,<html>
155,https://amigos.org/taxonomy/term/97/feed,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<pre style=""word-wrap: break-word; white-space: pre-wrap;"">"
329,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
329,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
329,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773936188793x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
329,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
329,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
329,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
330,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
330,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
330,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773936191248x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
330,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
330,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
330,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
331,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
331,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
331,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773936194328x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
331,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
331,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
331,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
332,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
332,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
332,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773936195784x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
