Page,Title,URL,Report Link,Total Violations,Total Passes,Critical,Serious,Moderate,Minor,Severity Score
1,Events | HMCPL Intercept,https://events.hmcpl.org/events,./reports/1.html,4,43,0,18,1,0,56
10,Jigsaw Puzzle Club | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/jigsaw-puzzle-club,./reports/10.html,3,42,0,1,2,0,7
100,Book Buddies Storytime (3-6 years) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/book-buddies-storytime-3-6-years,./reports/100.html,3,41,0,1,2,0,7
101,"Ready, Set, Kindergarten | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-25/ready-set-kindergarten-0,./reports/101.html,3,41,0,1,2,0,7
102,"Ready, Set, Kindergarten! | HMCPL Intercept",https://events.hmcpl.org/event/2026-03-25/ready-set-kindergarten-1,./reports/102.html,3,42,0,1,2,0,7
103,New Hope Storytime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/new-hope-storytime,./reports/103.html,3,42,0,1,2,0,7
104,Needlework Crafters | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/needlework-crafters,./reports/104.html,3,41,0,1,2,0,7
105,Makerspace | HMCPL Intercept,https://events.hmcpl.org/index.php/location/downtown-huntsville-library/makerspace,./reports/105.html,0,39,0,0,0,0,0
106,Cupids Café | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/cupids-cafe,./reports/106.html,3,41,0,1,2,0,7
107,Meeting Room A | HMCPL Intercept,https://events.hmcpl.org/index.php/location/downtown-huntsville-library/meeting-room,./reports/107.html,1,40,0,0,1,0,2
108,Preschool STEAM Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/preschool-steam-club,./reports/108.html,3,42,0,1,2,0,7
109,Air-Dry Clay Art Series with Ms. Anita | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/air-dry-clay-art-series-ms-anita,./reports/109.html,3,41,0,1,2,0,7
11,Friends of the Library Meeting | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/friends-library-meeting,./reports/11.html,3,41,0,1,2,0,7
110,"Ready, Set, Kindergarten | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-25/ready-set-kindergarten,./reports/110.html,3,41,0,1,2,0,7
111,The Piece Makers | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/piece-makers,./reports/111.html,3,41,0,1,2,0,7
112,Cricut 101 - Easter Tags | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/cricut-101-easter-tags-0,./reports/112.html,3,41,0,1,2,0,7
113,Board at Gurley | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/board-gurley,./reports/113.html,3,41,0,1,2,0,7
114,Meeting Room | HMCPL Intercept,https://events.hmcpl.org/index.php/location/gurley-public-library/meeting-room,./reports/114.html,1,40,0,0,1,0,2
115,Sewing Beyond the Basics: DIY Tote Bag | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/sewing-beyond-basics-diy-tote-bag,./reports/115.html,3,42,0,1,2,0,7
116,The Craft Hour | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/craft-hour,./reports/116.html,3,42,0,1,2,0,7
117,Tween Gaming | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/tween-gaming,./reports/117.html,3,41,0,1,2,0,7
118,Kids' Arts Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/kids-arts-club,./reports/118.html,3,41,0,1,2,0,7
119,Teen Craft: Coral Reefs | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/teen-craft-coral-reefs,./reports/119.html,3,41,0,1,2,0,7
12,American Mah Jongg | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/american-mah-jongg,./reports/12.html,3,42,0,1,2,0,7
120,All Things Bridgerton | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/all-things-bridgerton,./reports/120.html,3,42,0,1,2,0,7
121,Adult Sewing: Pocket Bag | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/adult-sewing-pocket-bag,./reports/121.html,3,41,0,1,2,0,7
122,The Studio | HMCPL Intercept,https://events.hmcpl.org/index.php/location/madison-public-library/studio,./reports/122.html,0,39,0,0,0,0,0
123,Google Sheets Fundamentals (Online) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-25/google-sheets-fundamentals-online,./reports/123.html,3,42,0,1,2,0,7
124,The Arc of Madison County Movie Day! | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/arc-madison-county-movie-day,./reports/124.html,3,41,0,1,2,0,7
125,Community Room | HMCPL Intercept,https://events.hmcpl.org/index.php/location/north-huntsville-public-library/community-room,./reports/125.html,0,39,0,0,0,0,0
126,Toddler Tales with Puppet Pals | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/toddler-tales-puppet-pals,./reports/126.html,3,41,0,1,2,0,7
127,Crochet Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/crochet-club,./reports/127.html,3,42,0,1,2,0,7
128,Tinker Tots Storytime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/tinker-tots-storytime,./reports/128.html,3,41,0,1,2,0,7
129,"Ready, Set, Kindergarten! | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-26/ready-set-kindergarten,./reports/129.html,3,41,0,1,2,0,7
